,Year,Category,Data Type,val
31,1/1/1992,Food & Drinks,Sales- Monthly,30437
33,1/1/1992,Food & Drinks,Sales- Monthly,27835
39,1/1/1992,Pharmacy,Sales- Monthly,6461
69,1/1/1992,General Merch,Sales- Monthly,19879
73,1/1/1992,General Merch,Sales- Monthly,14134
93,1/1/1992,Food & Drinks,Sales- Monthly,17170
112,1/1/1992,Food & Drinks,Inventories- Monthly,26893
114,1/1/1992,General Merch,Inventories- Monthly,47543
115,1/1/1992,General Merch,Inventories- Monthly,36737
130,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
132,1/1/1992,General Merch,Inventories/Sales Ratio,2.39
133,1/1/1992,General Merch,Inventories/Sales Ratio,2.6
165,1/1/1992,Food & Drinks,Sales- Monthly,30382
167,1/1/1992,Food & Drinks,Sales- Monthly,27720
173,1/1/1992,Pharmacy,Sales- Monthly,6458
203,1/1/1992,General Merch,Sales- Monthly,20202
207,1/1/1992,General Merch,Sales- Monthly,14472
227,1/1/1992,Food & Drinks,Sales- Monthly,16990
246,1/1/1992,Food & Drinks,Inventories- Monthly,27010
248,1/1/1992,General Merch,Inventories- Monthly,47371
249,1/1/1992,General Merch,Inventories- Monthly,36616
264,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.89
266,1/1/1992,General Merch,Inventories/Sales Ratio,2.34
267,1/1/1992,General Merch,Inventories/Sales Ratio,2.53
273,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0.4
275,1/1/1992,General Merch,Inventories - Monthly Percent Change,-0.4
276,1/1/1992,General Merch,Inventories - Monthly Percent Change,-0.3
299,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.2
300,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.4
303,1/1/1992,Pharmacy,Sales - Monthly Percent Change,0
312,1/1/1992,General Merch,Sales - Monthly Percent Change,1.6
313,1/1/1992,General Merch,Sales - Monthly Percent Change,2.4
321,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-1
399,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.5
400,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.5
403,1/1/1992,Pharmacy,Sales - Monthly Percent Change,0
412,1/1/1992,General Merch,Sales - Monthly Percent Change,-0.2
413,1/1/1992,General Merch,Sales - Monthly Percent Change,0.5
421,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.4
515,1/1/1992,Food & Drinks,Sales- Monthly,30526
517,1/1/1992,Food & Drinks,Sales- Monthly,27848
523,1/1/1992,Pharmacy,Sales- Monthly,6459
553,1/1/1992,General Merch,Sales- Monthly,20168
557,1/1/1992,General Merch,Sales- Monthly,14543
577,1/1/1992,Food & Drinks,Sales- Monthly,16916
596,1/1/1992,Food & Drinks,Inventories- Monthly,26859
598,1/1/1992,General Merch,Inventories- Monthly,47440
599,1/1/1992,General Merch,Inventories- Monthly,36760
614,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
616,1/1/1992,General Merch,Inventories/Sales Ratio,2.35
617,1/1/1992,General Merch,Inventories/Sales Ratio,2.53
623,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,-0.6
625,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.1
626,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.4
639,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,1.3
641,1/1/1992,General Merch,Inventories - Monthly Percent Change,1.1
642,1/1/1992,General Merch,Inventories - Monthly Percent Change,1.1
665,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.2
666,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.1
669,1/1/1992,Pharmacy,Sales - Monthly Percent Change,1.2
678,1/1/1992,General Merch,Sales - Monthly Percent Change,0.4
679,1/1/1992,General Merch,Sales - Monthly Percent Change,-0.1
687,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-1.4
781,1/1/1992,Food & Drinks,Sales- Monthly,30602
783,1/1/1992,Food & Drinks,Sales- Monthly,27867
789,1/1/1992,Pharmacy,Sales- Monthly,6534
819,1/1/1992,General Merch,Sales- Monthly,20258
823,1/1/1992,General Merch,Sales- Monthly,14529
843,1/1/1992,Food & Drinks,Sales- Monthly,16677
862,1/1/1992,Food & Drinks,Inventories- Monthly,27205
864,1/1/1992,General Merch,Inventories- Monthly,47951
865,1/1/1992,General Merch,Inventories- Monthly,37166
880,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.89
882,1/1/1992,General Merch,Inventories/Sales Ratio,2.37
883,1/1/1992,General Merch,Inventories/Sales Ratio,2.56
915,1/1/1992,Food & Drinks,Sales- Monthly,30718
917,1/1/1992,Food & Drinks,Sales- Monthly,27987
923,1/1/1992,Pharmacy,Sales- Monthly,6511
953,1/1/1992,General Merch,Sales- Monthly,20345
957,1/1/1992,General Merch,Sales- Monthly,14634
977,1/1/1992,Food & Drinks,Sales- Monthly,16602
996,1/1/1992,Food & Drinks,Inventories- Monthly,27434
998,1/1/1992,General Merch,Inventories- Monthly,47365
999,1/1/1992,General Merch,Inventories- Monthly,36642
1014,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.89
1016,1/1/1992,General Merch,Inventories/Sales Ratio,2.33
1017,1/1/1992,General Merch,Inventories/Sales Ratio,2.5
1023,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0.8
1025,1/1/1992,General Merch,Inventories - Monthly Percent Change,-1.2
1026,1/1/1992,General Merch,Inventories - Monthly Percent Change,-1.4
1049,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.4
1050,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.4
1053,1/1/1992,Pharmacy,Sales - Monthly Percent Change,-0.4
1062,1/1/1992,General Merch,Sales - Monthly Percent Change,0.4
1063,1/1/1992,General Merch,Sales - Monthly Percent Change,0.7
1071,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.4
1149,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.1
1150,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.1
1153,1/1/1992,Pharmacy,Sales - Monthly Percent Change,-0.8
1162,1/1/1992,General Merch,Sales - Monthly Percent Change,-0.2
1163,1/1/1992,General Merch,Sales - Monthly Percent Change,-0.3
1171,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-2
1265,1/1/1992,Food & Drinks,Sales- Monthly,30761
1267,1/1/1992,Food & Drinks,Sales- Monthly,28011
1273,1/1/1992,Pharmacy,Sales- Monthly,6458
1303,1/1/1992,General Merch,Sales- Monthly,20298
1307,1/1/1992,General Merch,Sales- Monthly,14597
1327,1/1/1992,Food & Drinks,Sales- Monthly,16277
1346,1/1/1992,Food & Drinks,Inventories- Monthly,27263
1348,1/1/1992,General Merch,Inventories- Monthly,48059
1349,1/1/1992,General Merch,Inventories- Monthly,37131
1364,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.89
1366,1/1/1992,General Merch,Inventories/Sales Ratio,2.37
1367,1/1/1992,General Merch,Inventories/Sales Ratio,2.54
1373,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,-0.6
1375,1/1/1992,General Merch,Inventories - Monthly Percent Change,1.5
1376,1/1/1992,General Merch,Inventories - Monthly Percent Change,1.3
1389,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0.3
1391,1/1/1992,General Merch,Inventories - Monthly Percent Change,2
1392,1/1/1992,General Merch,Inventories - Monthly Percent Change,1.9
1415,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.7
1416,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.6
1419,1/1/1992,Pharmacy,Sales - Monthly Percent Change,-1.8
1428,1/1/1992,General Merch,Sales - Monthly Percent Change,-0.5
1429,1/1/1992,General Merch,Sales - Monthly Percent Change,-0.9
1437,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,1.3
1531,1/1/1992,Food & Drinks,Sales- Monthly,30963
1533,1/1/1992,Food & Drinks,Sales- Monthly,28183
1539,1/1/1992,Pharmacy,Sales- Monthly,6344
1569,1/1/1992,General Merch,Sales- Monthly,20205
1573,1/1/1992,General Merch,Sales- Monthly,14469
1593,1/1/1992,Food & Drinks,Sales- Monthly,16496
1612,1/1/1992,Food & Drinks,Inventories- Monthly,27340
1614,1/1/1992,General Merch,Inventories- Monthly,49036
1615,1/1/1992,General Merch,Inventories- Monthly,37854
1630,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
1632,1/1/1992,General Merch,Inventories/Sales Ratio,2.43
1633,1/1/1992,General Merch,Inventories/Sales Ratio,2.62
1665,1/1/1992,Food & Drinks,Sales- Monthly,31041
1667,1/1/1992,Food & Drinks,Sales- Monthly,28222
1673,1/1/1992,Pharmacy,Sales- Monthly,6521
1703,1/1/1992,General Merch,Sales- Monthly,20593
1707,1/1/1992,General Merch,Sales- Monthly,14729
1727,1/1/1992,Food & Drinks,Sales- Monthly,16733
1746,1/1/1992,Food & Drinks,Inventories- Monthly,27159
1748,1/1/1992,General Merch,Inventories- Monthly,48588
1749,1/1/1992,General Merch,Inventories- Monthly,37469
1764,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.87
1766,1/1/1992,General Merch,Inventories/Sales Ratio,2.36
1767,1/1/1992,General Merch,Inventories/Sales Ratio,2.54
1773,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,-0.7
1775,1/1/1992,General Merch,Inventories - Monthly Percent Change,-0.9
1776,1/1/1992,General Merch,Inventories - Monthly Percent Change,-1
1799,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.3
1800,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.1
1803,1/1/1992,Pharmacy,Sales - Monthly Percent Change,2.8
1812,1/1/1992,General Merch,Sales - Monthly Percent Change,1.9
1813,1/1/1992,General Merch,Sales - Monthly Percent Change,1.8
1821,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,1.4
1899,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.3
1900,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.4
1903,1/1/1992,Pharmacy,Sales - Monthly Percent Change,-1.5
1912,1/1/1992,General Merch,Sales - Monthly Percent Change,0.4
1913,1/1/1992,General Merch,Sales - Monthly Percent Change,0.6
1921,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.5
2015,1/1/1992,Food & Drinks,Sales- Monthly,30942
2017,1/1/1992,Food & Drinks,Sales- Monthly,28122
2023,1/1/1992,Pharmacy,Sales- Monthly,6421
2053,1/1/1992,General Merch,Sales- Monthly,20684
2057,1/1/1992,General Merch,Sales- Monthly,14816
2077,1/1/1992,Food & Drinks,Sales- Monthly,16812
2096,1/1/1992,Food & Drinks,Inventories- Monthly,27179
2098,1/1/1992,General Merch,Inventories- Monthly,48896
2099,1/1/1992,General Merch,Inventories- Monthly,37591
2114,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
2116,1/1/1992,General Merch,Inventories/Sales Ratio,2.36
2117,1/1/1992,General Merch,Inventories/Sales Ratio,2.54
2123,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0.1
2125,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.6
2126,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.3
2139,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0.6
2141,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.5
2142,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.6
2165,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.7
2166,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.7
2169,1/1/1992,Pharmacy,Sales - Monthly Percent Change,1.1
2178,1/1/1992,General Merch,Sales - Monthly Percent Change,0.8
2179,1/1/1992,General Merch,Sales - Monthly Percent Change,0.4
2187,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,1.7
2281,1/1/1992,Food & Drinks,Sales- Monthly,31148
2283,1/1/1992,Food & Drinks,Sales- Monthly,28328
2289,1/1/1992,Pharmacy,Sales- Monthly,6491
2319,1/1/1992,General Merch,Sales- Monthly,20851
2323,1/1/1992,General Merch,Sales- Monthly,14870
2343,1/1/1992,Food & Drinks,Sales- Monthly,17104
2362,1/1/1992,Food & Drinks,Inventories- Monthly,27334
2364,1/1/1992,General Merch,Inventories- Monthly,49152
2365,1/1/1992,General Merch,Inventories- Monthly,37832
2380,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
2382,1/1/1992,General Merch,Inventories/Sales Ratio,2.36
2383,1/1/1992,General Merch,Inventories/Sales Ratio,2.54
2415,1/1/1992,Food & Drinks,Sales- Monthly,30992
2417,1/1/1992,Food & Drinks,Sales- Monthly,28184
2423,1/1/1992,Pharmacy,Sales- Monthly,6432
2453,1/1/1992,General Merch,Sales- Monthly,21078
2457,1/1/1992,General Merch,Sales- Monthly,14994
2477,1/1/1992,Food & Drinks,Sales- Monthly,17420
2496,1/1/1992,Food & Drinks,Inventories- Monthly,27414
2498,1/1/1992,General Merch,Inventories- Monthly,49037
2499,1/1/1992,General Merch,Inventories- Monthly,37735
2514,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
2516,1/1/1992,General Merch,Inventories/Sales Ratio,2.33
2517,1/1/1992,General Merch,Inventories/Sales Ratio,2.52
2523,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0.3
2525,1/1/1992,General Merch,Inventories - Monthly Percent Change,-0.2
2526,1/1/1992,General Merch,Inventories - Monthly Percent Change,-0.3
2549,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.5
2550,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.5
2553,1/1/1992,Pharmacy,Sales - Monthly Percent Change,-0.9
2562,1/1/1992,General Merch,Sales - Monthly Percent Change,1.1
2563,1/1/1992,General Merch,Sales - Monthly Percent Change,0.8
2571,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,1.8
2649,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.2
2650,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.2
2653,1/1/1992,Pharmacy,Sales - Monthly Percent Change,0.4
2662,1/1/1992,General Merch,Sales - Monthly Percent Change,3.2
2663,1/1/1992,General Merch,Sales - Monthly Percent Change,2.1
2671,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.4
2765,1/1/1992,Food & Drinks,Sales- Monthly,31057
2767,1/1/1992,Food & Drinks,Sales- Monthly,28233
2773,1/1/1992,Pharmacy,Sales- Monthly,6459
2803,1/1/1992,General Merch,Sales- Monthly,21752
2807,1/1/1992,General Merch,Sales- Monthly,15310
2827,1/1/1992,Food & Drinks,Sales- Monthly,17491
2846,1/1/1992,Food & Drinks,Inventories- Monthly,27408
2848,1/1/1992,General Merch,Inventories- Monthly,49306
2849,1/1/1992,General Merch,Inventories- Monthly,37878
2864,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
2866,1/1/1992,General Merch,Inventories/Sales Ratio,2.27
2867,1/1/1992,General Merch,Inventories/Sales Ratio,2.47
2873,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0
2875,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.5
2876,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.4
2889,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,0.1
2891,1/1/1993,General Merch,Inventories - Monthly Percent Change,2.8
2892,1/1/1993,General Merch,Inventories - Monthly Percent Change,3.1
2915,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0
2916,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0
2919,1/1/1993,Pharmacy,Sales - Monthly Percent Change,-0.5
2928,1/1/1993,General Merch,Sales - Monthly Percent Change,-1.7
2929,1/1/1993,General Merch,Sales - Monthly Percent Change,0.2
2937,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.4
3031,1/1/1993,Food & Drinks,Sales- Monthly,31045
3033,1/1/1993,Food & Drinks,Sales- Monthly,28220
3039,1/1/1993,Pharmacy,Sales- Monthly,6426
3069,1/1/1993,General Merch,Sales- Monthly,21383
3073,1/1/1993,General Merch,Sales- Monthly,15334
3093,1/1/1993,Food & Drinks,Sales- Monthly,17553
3112,1/1/1993,Food & Drinks,Inventories- Monthly,27429
3114,1/1/1993,General Merch,Inventories- Monthly,50709
3115,1/1/1993,General Merch,Inventories- Monthly,39063
3130,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.88
3132,1/1/1993,General Merch,Inventories/Sales Ratio,2.37
3133,1/1/1993,General Merch,Inventories/Sales Ratio,2.55
3165,1/1/1993,Food & Drinks,Sales- Monthly,31233
3167,1/1/1993,Food & Drinks,Sales- Monthly,28419
3173,1/1/1993,Pharmacy,Sales- Monthly,6566
3203,1/1/1993,General Merch,Sales- Monthly,21392
3207,1/1/1993,General Merch,Sales- Monthly,15119
3227,1/1/1993,Food & Drinks,Sales- Monthly,17478
3246,1/1/1993,Food & Drinks,Inventories- Monthly,27502
3248,1/1/1993,General Merch,Inventories- Monthly,51472
3249,1/1/1993,General Merch,Inventories- Monthly,39630
3264,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.88
3266,1/1/1993,General Merch,Inventories/Sales Ratio,2.41
3267,1/1/1993,General Merch,Inventories/Sales Ratio,2.62
3273,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,0.3
3275,1/1/1993,General Merch,Inventories - Monthly Percent Change,1.5
3276,1/1/1993,General Merch,Inventories - Monthly Percent Change,1.5
3299,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.6
3300,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.7
3303,1/1/1993,Pharmacy,Sales - Monthly Percent Change,2.2
3312,1/1/1993,General Merch,Sales - Monthly Percent Change,0
3313,1/1/1993,General Merch,Sales - Monthly Percent Change,-1.4
3321,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,-0.4
3399,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,-0.6
3400,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,-0.4
3403,1/1/1993,Pharmacy,Sales - Monthly Percent Change,-0.1
3412,1/1/1993,General Merch,Sales - Monthly Percent Change,-0.6
3413,1/1/1993,General Merch,Sales - Monthly Percent Change,-0.9
3421,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.4
3515,1/1/1993,Food & Drinks,Sales- Monthly,31058
3517,1/1/1993,Food & Drinks,Sales- Monthly,28307
3523,1/1/1993,Pharmacy,Sales- Monthly,6558
3553,1/1/1993,General Merch,Sales- Monthly,21273
3557,1/1/1993,General Merch,Sales- Monthly,14985
3577,1/1/1993,Food & Drinks,Sales- Monthly,17554
3596,1/1/1993,Food & Drinks,Inventories- Monthly,27611
3598,1/1/1993,General Merch,Inventories- Monthly,52443
3599,1/1/1993,General Merch,Inventories- Monthly,40332
3614,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.89
3616,1/1/1993,General Merch,Inventories/Sales Ratio,2.47
3617,1/1/1993,General Merch,Inventories/Sales Ratio,2.69
3623,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,0.4
3625,1/1/1993,General Merch,Inventories - Monthly Percent Change,1.9
3626,1/1/1993,General Merch,Inventories - Monthly Percent Change,1.8
3639,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,0.6
3641,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.1
3642,1/1/1993,General Merch,Inventories - Monthly Percent Change,-0.2
3665,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.2
3666,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.2
3669,1/1/1993,Pharmacy,Sales - Monthly Percent Change,0.8
3678,1/1/1993,General Merch,Sales - Monthly Percent Change,2.3
3679,1/1/1993,General Merch,Sales - Monthly Percent Change,2.8
3687,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,1.2
3781,1/1/1993,Food & Drinks,Sales- Monthly,31129
3783,1/1/1993,Food & Drinks,Sales- Monthly,28367
3789,1/1/1993,Pharmacy,Sales- Monthly,6608
3819,1/1/1993,General Merch,Sales- Monthly,21759
3823,1/1/1993,General Merch,Sales- Monthly,15406
3843,1/1/1993,Food & Drinks,Sales- Monthly,17770
3862,1/1/1993,Food & Drinks,Inventories- Monthly,27781
3864,1/1/1993,General Merch,Inventories- Monthly,52487
3865,1/1/1993,General Merch,Inventories- Monthly,40263
3880,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.89
3882,1/1/1993,General Merch,Inventories/Sales Ratio,2.41
3883,1/1/1993,General Merch,Inventories/Sales Ratio,2.61
3915,1/1/1993,Food & Drinks,Sales- Monthly,31164
3917,1/1/1993,Food & Drinks,Sales- Monthly,28386
3923,1/1/1993,Pharmacy,Sales- Monthly,6615
3953,1/1/1993,General Merch,Sales- Monthly,21993
3957,1/1/1993,General Merch,Sales- Monthly,15523
3977,1/1/1993,Food & Drinks,Sales- Monthly,17821
3996,1/1/1993,Food & Drinks,Inventories- Monthly,27688
3998,1/1/1993,General Merch,Inventories- Monthly,52635
3999,1/1/1993,General Merch,Inventories- Monthly,40402
4014,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.89
4016,1/1/1993,General Merch,Inventories/Sales Ratio,2.39
4017,1/1/1993,General Merch,Inventories/Sales Ratio,2.6
4023,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,-0.3
4025,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.3
4026,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.3
4049,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.1
4050,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.1
4053,1/1/1993,Pharmacy,Sales - Monthly Percent Change,0.1
4062,1/1/1993,General Merch,Sales - Monthly Percent Change,1.1
4063,1/1/1993,General Merch,Sales - Monthly Percent Change,0.8
4071,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.3
4149,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0
4150,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0
4153,1/1/1993,Pharmacy,Sales - Monthly Percent Change,0.6
4162,1/1/1993,General Merch,Sales - Monthly Percent Change,-0.2
4163,1/1/1993,General Merch,Sales - Monthly Percent Change,0
4171,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,1.2
4265,1/1/1993,Food & Drinks,Sales- Monthly,31168
4267,1/1/1993,Food & Drinks,Sales- Monthly,28377
4273,1/1/1993,Pharmacy,Sales- Monthly,6652
4303,1/1/1993,General Merch,Sales- Monthly,21957
4307,1/1/1993,General Merch,Sales- Monthly,15517
4327,1/1/1993,Food & Drinks,Sales- Monthly,18030
4346,1/1/1993,Food & Drinks,Inventories- Monthly,27620
4348,1/1/1993,General Merch,Inventories- Monthly,52460
4349,1/1/1993,General Merch,Inventories- Monthly,40223
4364,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.89
4366,1/1/1993,General Merch,Inventories/Sales Ratio,2.39
4367,1/1/1993,General Merch,Inventories/Sales Ratio,2.59
4373,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,-0.2
4375,1/1/1993,General Merch,Inventories - Monthly Percent Change,-0.3
4376,1/1/1993,General Merch,Inventories - Monthly Percent Change,-0.4
4389,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,-0.6
4391,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.5
4392,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.4
4415,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.6
4416,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.6
4419,1/1/1993,Pharmacy,Sales - Monthly Percent Change,0.9
4428,1/1/1993,General Merch,Sales - Monthly Percent Change,1.8
4429,1/1/1993,General Merch,Sales - Monthly Percent Change,1.5
4437,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,-0.6
4531,1/1/1993,Food & Drinks,Sales- Monthly,31349
4533,1/1/1993,Food & Drinks,Sales- Monthly,28554
4539,1/1/1993,Pharmacy,Sales- Monthly,6714
4569,1/1/1993,General Merch,Sales- Monthly,22343
4573,1/1/1993,General Merch,Sales- Monthly,15757
4593,1/1/1993,Food & Drinks,Sales- Monthly,17927
4612,1/1/1993,Food & Drinks,Inventories- Monthly,27464
4614,1/1/1993,General Merch,Inventories- Monthly,52740
4615,1/1/1993,General Merch,Inventories- Monthly,40367
4630,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.88
4632,1/1/1993,General Merch,Inventories/Sales Ratio,2.36
4633,1/1/1993,General Merch,Inventories/Sales Ratio,2.56
4665,1/1/1993,Food & Drinks,Sales- Monthly,31126
4667,1/1/1993,Food & Drinks,Sales- Monthly,28357
4673,1/1/1993,Pharmacy,Sales- Monthly,6613
4703,1/1/1993,General Merch,Sales- Monthly,22315
4707,1/1/1993,General Merch,Sales- Monthly,15775
4727,1/1/1993,Food & Drinks,Sales- Monthly,18201
4746,1/1/1993,Food & Drinks,Inventories- Monthly,27480
4748,1/1/1993,General Merch,Inventories- Monthly,52887
4749,1/1/1993,General Merch,Inventories- Monthly,40396
4764,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.88
4766,1/1/1993,General Merch,Inventories/Sales Ratio,2.37
4767,1/1/1993,General Merch,Inventories/Sales Ratio,2.56
4773,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,0.1
4775,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.3
4776,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.1
4799,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,-0.7
4800,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,-0.7
4803,1/1/1993,Pharmacy,Sales - Monthly Percent Change,-1.5
4812,1/1/1993,General Merch,Sales - Monthly Percent Change,-0.1
4813,1/1/1993,General Merch,Sales - Monthly Percent Change,0.1
4821,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,1.5
4899,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.2
4900,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.4
4903,1/1/1993,Pharmacy,Sales - Monthly Percent Change,0.8
4912,1/1/1993,General Merch,Sales - Monthly Percent Change,0.5
4913,1/1/1993,General Merch,Sales - Monthly Percent Change,0.1
4921,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,1.7
5015,1/1/1993,Food & Drinks,Sales- Monthly,31201
5017,1/1/1993,Food & Drinks,Sales- Monthly,28478
5023,1/1/1993,Pharmacy,Sales- Monthly,6664
5053,1/1/1993,General Merch,Sales- Monthly,22429
5057,1/1/1993,General Merch,Sales- Monthly,15785
5077,1/1/1993,Food & Drinks,Sales- Monthly,18515
5096,1/1/1993,Food & Drinks,Inventories- Monthly,27469
5098,1/1/1993,General Merch,Inventories- Monthly,52940
5099,1/1/1993,General Merch,Inventories- Monthly,40376
5114,1/1/1993,Food & Drinks,Inventories/Sales Ratio,0.88
5116,1/1/1993,General Merch,Inventories/Sales Ratio,2.36
5117,1/1/1993,General Merch,Inventories/Sales Ratio,2.56
5123,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,0
5125,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.1
5126,1/1/1993,General Merch,Inventories - Monthly Percent Change,0
5139,1/1/1993,Food & Drinks,Inventories - Monthly Percent Change,0
5141,1/1/1993,General Merch,Inventories - Monthly Percent Change,0.3
5142,1/1/1993,General Merch,Inventories - Monthly Percent Change,0
5165,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.5
5166,1/1/1993,Food & Drinks,Sales - Monthly Percent Change,0.5
5169,1/1/1993,Pharmacy,Sales - Monthly Percent Change,-0.1
